STARLINK-4711           
Time(t),Position x(r_x),y(r_y),z(r_z),Velocity x(v_x),y(v_y),z(v_z)
2459905.5966244023,-3913.460670319723,1188.4204605205268,-5450.6146216081925,-2.574792043483272,-7.189306244045263,0.2812963331151162
2459905.597319542,-4059.1255094302132,754.2686689609096,-5421.358064369811,-2.274039917835189,-7.2625936487122855,0.6925961687284302
2459905.598014681,-4186.410459042203,316.7014385684071,-5367.48318018431,-1.9629671217609461,-7.302999964217014,1.1007825948393521
2459905.598709821,-4294.7374225821595,-122.3006391749545,-5289.232082010285,-1.6429659306967739,-7.310337429566792,1.5040200164144768
2459905.5994049604,-4383.6129239223155,-560.7491668457188,-5186.956686870712,-1.3154695786420894,-7.284563481680644,1.9004924390983773
2459905.6001001,-4452.6307098515335,-996.6578570899962,-5061.117133942971,-0.9819455979925211,-7.225781426700884,2.288412160870552
2459905.6007952397,-4501.473551787779,-1428.0510025157448,-4912.279903203766,-0.6438900189990355,-7.134240440570849,2.666027062897507
2459905.6014903793,-4529.914773262703,-1852.9722248614307,-4741.11545296655,-0.30282119499151283,-7.010335086384155,3.031628131631821
2459905.602185519,-4537.819401673459,-2269.4931792831685,-4548.395407252326,0.0397265352770608,-6.854604288415199,3.383556918639966
2459905.6028806586,-4525.14493474758,-2675.722180400973,-4334.989297347283,0.38220933878522084,-6.667729739118121,3.7202129145851
2459905.603575798,-4491.941712835913,-3069.812715271526,-4101.86086348369,0.7230805197220632,-6.450533714852539,4.040060808776661
2459905.6042709374,-4438.352931745624,-3449.971557393716,-3850.064099147486,1.0607970489508174,-6.203976451648601,4.34163740507226
2459905.604966077,-4364.614046667235,-3814.467952787684,-3580.738011306681,1.3938273218696347,-5.929152029707684,4.623559342812143
2459905.6056612167,-4271.052134848325,-4161.640041035965,-3295.1026716531014,1.720656727829819,-5.627285276807702,4.88452857891028
2459905.6063563563,-4158.0844948684735,-4489.903569801214,-2994.453197261954,2.039795528126241,-5.299726371368924,5.123339628978913
2459905.607051496,-4026.216985975984,-4797.759014521446,-2680.1541806078603,2.3497856029408193,-4.947945569674835,5.338885453366982
2459905.6077466356,-3876.0419201602544,-5083.798611189688,-2353.633601960902,2.6492073893294954,-4.573527105214324,5.530163174921407
2459905.608441775,-3708.2355395845757,-5346.713002483848,-2016.3764109770395,2.936686738004222,-4.178162424367036,5.696279368292053
2459905.609136915,-3523.5550857089897,-5585.297457849625,-1669.9178048574065,3.210901641154814,-3.7636427759821935,5.836454869514191
2459905.6098320545,-3322.835469379461,-5798.45762948992,-1315.836233472115,3.470588781483767,-3.331851181545175,5.950029056514211
2459905.6105271936,-3106.9857036437847,-5985.214692054382,-955.7464075680579,3.714549693659833,-2.8847541260271345,6.03646350567814
2459905.6112223333,-2876.9842271302473,-6144.710547235146,-591.2908911212219,3.941657446371123,-2.424391197471774,6.095345293612543
2459905.611917473,-2633.875331689357,-6276.211229439369,-224.13394603086059,4.150861369121733,-1.9528672490280061,6.126389084615634
2459905.6126126125,-2378.7638209032634,-6379.110989867275,144.04715982856013,4.341193048024569,-1.4723411485955293,6.129439133525155
2459905.613307752,-2112.810069666449,-6452.935112394696,511.56972694247344,4.511771065552732,-0.9850156562068676,6.104470266585162
2459905.614002892,-1837.2246631983,-6497.342229043407,876.7534790239667,4.661805447067433,-0.49312672388746154,6.0515882104052485
2459905.6146980315,-1553.2627839464665,-6512.125986354532,1237.9284157053085,4.790601610442941,0.0010674101408981627,5.971029196148269
2459905.615393171,-1262.218377122126,-6497.216052736367,1593.442619636323,4.8975637897398165,0.49529725314876416,5.863158841612013
